3150,15,47,52,8
3152,15,47,52,8
6808,22,17,49,21
6708,21,41,49,26
4505,19,22,51,24
4902,23,16,51,11
3903,23,5,52,2
1101,15,59,54,0
3902,23,51,52,42
295,23,9,53,6
2802,22,36,53,39
6702,21,15,49,44
3901,23,10,52,46
600,19,0,49,48
5508,19,6,50,5
6803,22,29,49,41
2601,20,59,53,51
3301,17,8,52,49
6601,20,24,49,59
5601,20,57,50,57
5001,14,59,50,54
5702,21,25,50,51
5252,16,53,50,15
1351,17,59,54,15
5606,20,48,50,17
6451,18,52,49,45
3608,20,43,52,8
6806,22,37,49,27
6626,20,7,49,21
240,17,58,53,6
2450,18,3,53,10
2351,17,59,53,5
4201,15,99,51,43
5707,21,39,50,31
235,17,31,53,42
5708,21,27,50,21
2303,17,35,53,11
4250,16,36,51,26
3950,23,7,52,5
3401,18,48,52,53
5951,23,7,50,14
6403,18,38,49,45
1304,17,34,54,21
5406,18,44,50,21
4804,22,16,51,19
550,19,5,50,48
6622,20,20,49,26
1201,16,23,54,27
6635,20,13,49,28
5211,16,38,50,15
6651,20,4,49,53
2502,19,50,53,55
5302,17,1,50,46
6633,20,3,49,13
5454,18,48,50,41
6705,21,41,49,34
5206,16,24,50,24
6802,22,14,49,50
1001,14,44,54,1
160,19,32,54,13
4806,22,38,51,14
1505,19,41,54,22
150,18,28,54,23
1407,18,28,54,23
1404,18,56,54,20
1402,18,34,54,31
1702,21,48,54,2
3404,18,27,52,39
3501,19,14,52,50
5309,17,48,50,11
5308,17,23,50,18
3303,17,34,52,33
2004,14,53,53,35
1801,22,19,54,19
300,15,16,52,44
3101,15,54,52,34
4101,15,7,51,39
4707,21,23,51,6
4303,17,27,51,28
6804,22,5,49,40
5303,17,24,50,41
2403,18,43,53,26
6521,19,56,49,18
6632,20,0,49,14
6526,19,52,49,14
135,18,48,54,36
1405,18,15,54,15
5608,20,16,50,6
6503,19,26,49,53
6408,18,54,49,36
6706,21,47,49,34
6518,19,42,49,28
5150,15,27,50,49
4702,21,59,51,49
5802,22,18,50,34
6650,20,54,49,47
6401,18,34,49,57
4350,17,21,51,3
500,15,47,50,54
5664,20,16,50,39
6602,20,15,49,47
435,18,4,51,46
5105,15,47,50,47
1302,17,14,54,29
2406,18,21,53,44
650,19,58,49,13
5550,19,4,50,28
560,19,1,50,14
3607,20,21,52,10
570,20,41,50,48
520,16,36,50,26
1503,19,10,54,11
5453,18,41,50,43
5709,21,48,50,14
345,18,39,52,12
100,15,23,54,9
3403,18,9,52,44
6809,22,4,49,20
2404,18,33,53,11
5304,17,36,50,29
105,16,9,54,12
1305,17,58,54,8
3305,17,6,52,15
566,19,48,50,4
5511,19,58,50,4
4903,23,9,51,0
6704,21,45,49,41
6618,20,26,49,27
6623,20,58,49,25
6624,20,58,49,25
3202,15,59,52,53
2805,22,45,53,2
6551,19,1,49,33
5208,16,53,50,21
3603,20,58,52,24
415,16,12,51,11
690,22,20,49,27
6505,19,27,49,48
418,16,32,51,50
5805,22,25,50,15
125,17,43,54,33
5504,19,14,50,36
6501,19,54,49,58
2505,19,50,53,15
1601,20,36,54,8
6605,20,26,49,41
2003,14,58,53,21
1406,18,50,54,6
5904,23,8,50,9
3104,15,33,52,15
495,22,23,51,13
5402,18,42,50,41
6639,19,59,49,39
4501,19,23,51,54
4605,20,55,51,20
6652,20,30,49,58
6612,20,26,49,33
120,17,32,54,45
6616,20,8,49,29
465,19,23,51,43
6507,19,41,49,44
2804,22,6,53,13
2858,22,6,53,12
1202,16,59,54,1
5604,20,2,50,22
6506,19,12,49,48
280,21,35,53,47
6636,20,17,49,28
270,20,21,53,6
6634,20,4,49,12
6607,20,5,49,40
6669,20,3,49,39
6628,20,53,49,21
2750,21,21,53,23
4304,17,44,51,5
6654,20,19,49,25
3703,21,24,52,31
5952,23,2,50,48
3606,20,25,52,12
4803,22,45,51,27
2203,16,45,53,2
2855,22,8,53,13
6510,19,10,49,39
5905,23,6,50,16
660,20,41,49,37
6516,19,58,49,33
1802,22,29,54,3
5506,19,36,50,16
5519,19,34,50,17
272,20,25,53,46
5310,17,19,50,57
3550,19,4,52,10
530,17,58,50,37
4706,21,56,51,8
285,21,32,53,3
5305,17,10,50,28
5806,22,35,50,2
3204,16,11,52,18
5106,15,57,50,44
6619,20,42,49,26
6655,20,43,49,25
3802,22,50,52,18
360,19,43,52,35
4105,15,33,51,6
5301,17,51,50,54
6525,19,47,49,14
4202,16,3,51,30
2201,16,5,53,46
6629,20,2,49,20
6656,20,2,49,19
3602,20,23,52,38
330,16,50,52,25
2503,19,13,53,44
5307,17,34,50,19
2605,20,54,53,2
3601,20,40,52,55
2102,15,5,53,6
695,22,46,49,48
5409,18,55,50,0
5250,16,33,50,51
6609,20,53,49,36
4503,19,5,51,47
4705,21,58,51,25
3701,21,6,52,44
6512,19,58,49,37
540,18,11,50,3
2401,18,45,53,59
6552,19,9,49,38
4251,16,2,51,52
4801,22,36,51,46
2150,15,57,53,47
210,15,24,53,46
1401,18,20,54,50
6604,20,41,49,46
2901,23,24,53,38
5408,18,33,50,6
580,22,2,50,6
585,21,42,50,41
6805,22,11,49,35
385,22,14,52,10
5605,20,25,50,19
6517,19,55,49,32
4401,18,42,51,36
5501,19,46,50,55
3705,21,55,52,13
4601,20,10,51,58
5602,20,16,50,38
5254,16,22,50,24
310,14,37,52,20
3304,17,52,52,17
3306,17,13,52,13
1303,17,0,54,28
1350,17,6,54,29
4302,17,11,51,42
4802,22,9,51,37
6813,22,28,49,24
5401,18,2,50,5
3450,18,56,52,37
5705,21,11,50,36
5927,24,2,50,51
6850,22,41,49,11
5407,18,10,50,16
469,19,51,51,21
3103,15,6,52,27
2950,23,19,53,12
195,22,56,54,7
3203,16,38,52,35
5203,16,14,50,48
205,14,37,53,23
215,16,44,53,42
5502,19,48,50,38
2803,22,17,53,34
2702,21,1,53,35
3801,22,33,52,51
5103,15,32,50,50
4102,15,32,51,34
2402,18,11,53,42
510,15,44,50,44
3706,21,15,52,7
5202,16,28,50,51
5101,15,20,50,54
5404,18,57,50,26
2705,21,13,53,33
5701,21,3,50,51
200,14,14,53,55
5804,22,45,50,22
575,20,59,50,1
5205,16,48,50,35
399,23,37,52,4
6812,22,26,49,18
1502,19,32,54,19
4104,15,41,51,17
5902,23,24,50,27
3508,19,11,52,5
250,18,35,53,2
3001,14,36,52,58
3105,15,44,52,1
2002,14,32,53,40
4901,23,2,51,34
115,16,51,54,35
6502,19,31,49,53
3612,20,54,52,16
3604,20,58,52,17
3611,20,59,52,13
3704,21,2,52,13
3708,21,2,52,13
375,20,57,52,9
5901,23,46,50,45
5507,19,59,50,7
3206,16,21,52,7
5609,20,3,50,0
455,18,33,51,12
2202,16,7,53,28
4203,16,37,51,28
6404,18,52,49,39
4301,17,33,51,57
6520,19,50,49,20
4604,20,37,51,6
497,23,31,51,33
2602,20,41,53,50
424,16,54,51,6
2301,17,2,53,41
5801,22,40,50,55
6707,21,11,49,26
6801,22,49,49,54
625,19,57,49,17
595,23,12,50,41
5751,21,29,50,4
2703,21,24,53,23
6513,19,31,49,37
5505,19,17,50,22
6606,20,40,49,42
405,15,2,51,8
4106,15,1,51,8
400,15,31,51,55
4206,16,55,51,4
6701,21,49,49,53
6851,22,16,49,12
6509,19,14,49,43
